File,Chunk_Index,Transcription
SandalWoodNewsStories_287.mp3,10,ಉಕ್ಟಲ್ತನ ಬಂದುತ ದ್ರೀ ಈಗಾದರಮ
SandalWoodNewsStories_287.mp3,11,ಈಿಮನಾನಾತ್ಮ ದುಡವರು
SandalWoodNewsStories_287.mp3,12,ವಯತ್ತು ತಂದಸೋಂತು ದುಡಾವಿರುದರಿಂದ ಸ್ವಬಾರು ವರ್ಕೋಟ್ ಅನುಸಿತ್ತಂಪಗರೂಳದಗನು ಸ್ನಿತೆಲ್ಲಿ ನಮ್ಮವರೆಲ್ಲ ನಮ್ಮಂತರಲ್ಲೇ ಯಾಲಕ್ಷ ಮಡಸುೂತ್ತೆಒಂಚರಿ ನೀರ್ತರದು ಕಾದರನೂ ಆಳ್ಕಡೆಂತರಸುಂತ ಪರು ಹತ್ತಿನ ಬವತೆ
SandalWoodNewsStories_287.mp3,13,ಹಂತಾವರದ ನಾವು ಲಯಬ ರಚುಕಿ ಸಂ್ದ ಶೂತಿ ಮರ್ತೊಂದ್ರ ವರುಕುಟಾಗಲೊಂಬ ಪರುಹತ್ತು ತುಳ್ಕೂಡಿಕ ಶುಂಧ ು ಶರಿಗಂಧತನ ಬಂದೆ ಸಿರಿಗಾಂನದ ಗಿಡಗಳರ್ನು ಎ್ಟು ಏಕರದಲ್ಲಿ ಹಚ್ಚಿಯರಿ ಮತ್ತು ಒಂದು ಏಕರದಲ್ಲಿ ಷ್ಟು ಗಡಗಳನ್ನುಕ್ಕು ನ್ಯಾಡುತ್ತಯರಿ ಮತ್ತು ಎಟ್ ಎಷ್ಟು ಅಂತರದಲ್ಲಿ ನಿವೂ ಗಡಗಳನ್ನೂ ಹಚ್ಚುತ್ತೇರೆ
SandalWoodNewsStories_287.mp3,14,ಸುಮಾರವ ನ್ನು ಅಹತ್ತಕ್ಷ ಅತ್ಯಕ್ರಿಯೆಯ ಕ್ಷೇತ್ರದಲ್ಲಿ ನಾ ಶಿರಿಗಂದು ಬೆಳಕತ್ತಿನೆ
SandalWoodNewsStories_287.mp3,15,ಡೋಟಲ್ ನ್ ಜಮಿನೋ ಎಂಬತ್ತೇಕರು ಜನ್ನುನು ಎಂಬತಕಗಲನಾಯಒೊಂದು ವಚಾರ್ ಮಾಡೆ
SandalWoodNewsStories_287.mp3,16,ಒಂದ ಹಾತ್ೊದ್ನೈ ಪರಚಂಟ್ರೆ ಜಮಿನ ಈ ಶಿರ್ಗನ್ದು ತೋಡೆಸಬೂಕ ತೆಗ ನಾರ್ತ್ರಿ ಜಿಮಿನ್ನ ಸೇರಿನದಕೆ ತೋಡುಸಿದ್ನೆ
SandalWoodNewsStories_287.mp3,17,ಈಗ ಒಂದ ೆಗರಕ್ಕ ಮುನ್ನೂರಾ ಇಪ್ಪತ್ತಿರಿಗಡಾ ಕುಂಟುರುತ್ತವರೆ ನರಾ
SandalWoodNewsStories_287.mp3,18,ಬದಾದನ ಅಂತರ್ಗು ಮೀತ್ರೆ ಅಂತರ
SandalWoodNewsStories_287.mp3,19,ಒಂದುಒಂಚೈ್ ಹಬಿನೈರ್ಭಬುಡ್ಡ ದ ಒಂಚಡ್ ಯಂಟ್ ಪೂಟದಾರೆ
SandalWoodNewsStories_287.mp3,20,ನಿಗಾಯ ಮುನ್ನೋರ ಚಲ್ಲರ್ ಗಡಕುಂಟುತವ
SandalWoodNewsStories_287.mp3,21,ಈ ಟೋಟೆಲ ಂದು ಕೇತ್ರದ ಹತ್ತೆಕ್ರದಾಗ ಮೊನ್ನು ನೂರು ಸಾವಿರದ ಮನ್ನುರ್ ಗಡ ಗುತವ ನೀರ್ಸಾತ್ನ ಮರಿನ ವನಿಒಂದಗೆಸುಮಾರವನಾ ಪ್ಲಯಾಟಿಸ್ ಮಡೆಯೇ ಫೈಲಾ ವರಿಸುದ್ದಹಇ ಉಪಯೇಲಾ ವರ್ಸಿಗಡೈ ನೂಡೂರೆ
SandalWoodNewsStories_287.mp3,22,ನೂಮೂರು ಸಾೈಗಿ ಪೂರಜಮೂರುರಸೆ
SandalWoodNewsStories_287.mp3,23,ವಿಯನ್ನ ಮುಂದೆಯನ್ ಪ್ರಾಟಿವಾದರ ಮತ್ತ ಆಡು ಹೋಷಗಡಾಲ
SandalWoodNewsStories_287.mp3,24,ಎರಡುವ ರೂರ್ಷಿಗಡಾಲ
SandalWoodNewsStories_287.mp3,25,ನಿಗ ಕ್ರಮೇಳ ಒಂದುವರಸ್ತಕನ ವಚುವತ್ಬಂದಿದೆ
SandalWoodNewsStories_287.mp3,26,ಇದರ ಯಶೂಚೀನ ವ್ಯಾಂಗ ಕಾ್ಳಕತಿಯದು ಪಾತಂದ್ರ ಇದು ಒದಾರವೆ ಮತ್ತ ು ಹೇಳುಬಕೆಗಿಲ್ಲ
SandalWoodNewsStories_287.mp3,27,ಈಗನ ಮಲ್ಲನ ುಕಳ್ಳರೂಕಾಹುರು ಕಡೆದೊಂತ ಗಿಡನ ಬ್ಯಾಗೆನು ಹಡಕು ಹದವುದು ಬಡೆಗನೂಳಿತದು ಅದಅದಗಿಡ ಮೂವತಿದೇ ನಾಲವತೊಯೋ ಸಾರುಗಟ್ಲನ್ನು ದಡ್ಡಿು ಮರ್ಗುತ್ವಯೀರೆ
SandalWoodNewsStories_287.mp3,28,ಮ ಎದನು ಅದನು ಮನಲನುಕಿ ಶಿಂದು ಹೂರ ಅಕಂಡವುಂದು ಘಡಾನಾವು ಸೋರಕ್ಷಳ ಮಾಡಿರದ
SandalWoodNewsStories_287.mp3,29,ಒಂದ ಒಲ್ಲಕ್ಷ್ ಮಟ್ಟೆಗ್ಳೂ
SandalWoodNewsStories_287.mp3,30,ಅದು ಆದಾಯೆ ಕುಡಬೋದ ತೇಶಿಂಧ ಒಂದು ಚಾರಟ ಹುಡಿಯೆ
SandalWoodNewsStories_287.mp3,31,ಬಳಿ ಬೇಶಾಯಗ್ಬಂದು
SandalWoodNewsStories_287.mp3,32,ಸ್ರಿಗಾಂದ ಗಿಡಗಳಲ್ಲಿ ರೀತಿ ಜಾತಿಗಳು ಎಷ್ಟಿವೆ ಮತ್ತು ನೀಯೂ ಯಾವ ಜಾತಿಯ ಗಿಡಗಳನ್ನು ಹಚ್ಚಿದರೆ ಮತ್ತು ಅದರ ವ್ಯವಸ್ಥೆಯನ್ನು ಹೇಗೆ ಮಾಡುತ್ತೀರಿ
SandalWoodNewsStories_287.mp3,33,ಸುರಿಗಂತಗಿಡದಾಗ ಬೇರೆ ಅನುಜಾತಿ ಬೆರೆಯಾಗುಂತು ಆಎರು ಒಂದೇ ಜಾತಿ
SandalWoodNewsStories_287.mp3,34,ಇದುಇಲ್ನೂ ಯಾವು ದೇಶದ ಬಳೆದುರ್ಣೆಯ ಒಂದೇ ಶರಿಗಂಡ ಒಂದೇ ಜಿರಿಗಂತ ಇದು ನಂದಲ್ಲಿ ಶರಂಗ್ ಪಟ್ಣು ಕಡೆಯ ಬೆಳೆದಿತಿ ಇದ ಬೆಳೆ
SandalWoodNewsStories_287.mp3,35,ಇದ ಬೆಳೆಗಳರನೂ ಅಲ್ಲಿ ಹರಟಿಮೆರೆವೊಂಬುಡ್ತದೆ
SandalWoodNewsStories_287.mp3,36,ಗಂಬ ಈಕರೆಯಿಇಕಡಿದು ಹೂರಗಟಬನ್ು ಪಡೆತುಿ ನೊಂತು
SandalWoodNewsStories_287.mp3,37,ಅವರದೋ ಸ್ವರತ ನಿದು ಬನು ಬಡಿತ್ನ
SandalWoodNewsStories_287.mp3,38,ಎನ್ನ ಂಡುದಿ ಅರಡು ವಾಟ ವಾಂದಲೆ
SandalWoodNewsStories_287.mp3,39,ಅದರ ಇನ್ನು ವಿದೇಶಧಾಗ ಸ್ವಪ್ ಕೆನಡರದೂ ಹೆಚ್ಚುದುರ್ದವೂ
SandalWoodNewsStories_287.mp3,40,ಬೆಳೆತರೆ ಅಲ್ಲೆಯೇ ಡಿಪ್ರನ್ ಶಾಕಿದರಿ ಾವಿರಿಗಿನ ಮುಗ ವೆಯ ಇದಗೆಡಾಗಿ ದೂುರು ನುಸಯಿತ ಅ ರೇಟ್ ನಾಗ ಸ್ವದನ ಅಂಕುನೂ ಹೊಂದು ಇಪತ್ ಮೂವತ್ ಪರ್ಸೆಂಟ್ ೌರು ುಜಾಸ್ತ್ೀ ರೋಕತ್ತೂತ್ತರ್ೆ ತೋತರ ಅದು ಅವರ ನೆಲವುಗುಂಣದುನೆಗೆ ಅವರಹುಕ್ಕೆ ಕ್ಲಯರಮಿಟ್ ಮೇಲ ಅದು ಆಾಗಿದ್ದ
SandalWoodNewsStories_287.mp3,41,ಸ್ರಿಗಂದ ಗಿಡಗಳಗ ನೀಯು ನೀರು ಹವಮಾಣ ಭೂಮಿ ಅಂತದಿರ್ವಕ್ರಿ ಮತ್ತಾದರ ಔಷಯಧವಳನಿಯಾವಾಪ್ರ ಸ್ಥಿರಿ ಇವಗನೂಟಯೆ ಸರಿಗಲು ಗಡುತ್ತದೆ
SandalWoodNewsStories_287.mp3,42,ನುದುಮಣ್ಣಿರ್ಬರ್ದ ನುದುಮಣ್ಯತ್ತು ಗಿಳದಪ್ಪಾಗ್ಗಿತ್ತ
SandalWoodNewsStories_287.mp3,43,ಒಳಗಂತಯರಾವನಲ ನಂದಾಗುರುನ ಕೆನಂದ ವದಾಹಣ ನೋಡಗತ್ತವೆಗಿನ ಮಲೂನಕ್ಕೆಲಒೊಂದು ವರ್ಡಿ ನಲ್ಗುಟ್ಟದವುಇಪ್ಪತ್ತೋರ್ಸಾವರ್ ಗಾಂ್ರಗಿನು ಇಲ್ಲೆಯ ನಂದೆರಾಜೂಕ ಗುಡದಾಗಬಹಬ್ಬ ಬೆಳೆದವರೆ ಎನ್ನ ಎನ ಎಷ್ಟೋರದೋ ಆ ವಗ್ಗಂಧಗೆು ಅದಕ್ಕೆ ಎಚ್ಯುಂದಘರ್ಶುನಿನಲಾ ಎಟ್ಟ್ಯದ ಹಾರಡದ ಜನೂನಿರ್ತಿಲ್ಲ ಅಲ್ಲೆ ಗಂದುತಯಾರಯಾಕತ್ತಿತ್ಸು
SandalWoodNewsStories_287.mp3,44,ಅಲ್ಲಯೇ ಎಟ್ಟು ಗಿಡಾ ಶಾಣದುದಲನ್ನೂ ಗಾಂಧಶ್ಶಕತ ತು ಶುಂದು ಹೊಂದಾವಿ ಪ್ರೆ ನೀರಿಸುಮಾರದ ನೊಡೆಯದುಕೋ ಸುರಿಗಂತಿಕ ಗಂಪಲ್ಸರಿ ಯೋಳರ ಸುಂತು ನೀರ್ಬೇಕೆಬೇಕರಿ ಮುಂದನೆಯು ನೇರು ಬಡ್ಳ ಕೊಳ್ಳಿಕನಲೂ ನಡೆದಯತೆ ನ್ಯಾಡಗಿ ಲೇರಿನವಾ ಯಾರದೋಸ್ಕೂನ್ ತಾಶ ಡ್ಿಫಲಿ ಬಡಿದುಗರೋ ನಯಾಡ ೂಸ್ಕ ಒಂದ ತಾಸ ಡಿಪ್ಲೆಬಿಡುದೆ
SandalWoodNewsStories_287.mp3,45,ಅದು ರಾಜಗೀಟ ಮಳಗಲ್ಲದಂತು ಬಡೆಯಲ್ಲ ನಾಟಲನಾ ಬ್ಯಾಚೀಯತ ಎಮ್ನಗ ಒಂದ ಮೂರ್ನಾಕ್ತಿಗ್ಳ
SandalWoodNewsStories_287.mp3,46,ಯೌಸನಮನ್ಔಷಧ ಇದುಕೀಯನ ಔಷಧ್ಯದ ಬೇಾರ್ಯಬೇಕೆಗೆಲ್ಲ ಇದುಕವೆಂದ ಸೋಟು ಬರೋಡುತ್ ಬರವುತ್ತಿದ್ನು ಹಗೆಡ ಕೊರಿವಂತ ಒಳ
SandalWoodNewsStories_287.mp3,47,ಅದಕ್ಕ ಸ್ವಪಿದ್ವೀಿಶ್ಷ್ಟ್ ಮಡ್ೆದುರಿ ಆ ಸುಣ್ಣಾ ಮತ್ತೂರುವ
SandalWoodNewsStories_287.mp3,48,ಹಿನದವೂದ
SandalWoodNewsStories_287.mp3,49,ಬರಡೋ ಪ್ರಾಷ್ಟ ಮಾರಿಕ ಶಿಂಧ ಅದುನ್ನೊ ುಸಾಯಶ್ೋಂತ ವಸ್ತು ಮಟ್ತು ಪವರ್ಸದವಂಸಲ ಮಾಟುರಸಾಕದು
SandalWoodNewsStories_287.mp3,50,ದರೆಯಾಧಕ ಔಷದಂತು ಾವಳು ಅಔಷ್ಘತಿಲ್ ಆವರ್ ಯಂಪರಿಯನ್ು ಮಲರ ಮೊಬದು ಸ್ಕಿಪು ನಿಲ್ವ ಸ್ರಿಗಂದ ಗಿಡಗಳದು ನಿಯೂ ಎಲ್ಲಿ ಮಾರಟ ಮಾಡುತುರಿ ಮತು ಅದರ ಅವಶ್ಯಕತೆಯೇನಿರುತ್ತದೆ ಅದರ ಲಾಬಹೂ ಹೇಗೆಯಾಗುತ್ತುದೆ
SandalWoodNewsStories_287.mp3,51,ಸುರಿಗಂದಗೆಡ ಮಾರಿಕೆಟ್ಟವು
SandalWoodNewsStories_287.mp3,52,ಇದರ್ ಸ್ಟಡಿಯೆ ನಾವು ಸ್ವಲ್ಪುದ ಅಲ್ಪ ಸ್ವಲ್ಪ್ ಮಡಿದುವ ರ ಅತಿ ಅಚ್ಚಯನದಿರೋವ ಬಗ್ಗೆ ಸ್ಟಡಿ ಮಡ್ಲ
SandalWoodNewsStories_287.mp3,53,ದೀಲ ಮಾರ್ಗಿರ್ ಹೇಳದೂ ಹುನ್ ಹನ್ನುಸೋರಖ್ಯದನ್ನ ವರ್ಮತಿನೆ ಒಲ್ಲತಯುದು ತೋದೆ
SandalWoodNewsStories_287.mp3,54,ಿ ಹೊರೆ ಕೇಳಣ ಇಪತ್ಜೌವರ ಇಪ್ಪತ್ತನರ ಸ್ವಪನೆಯನ್ ತಿನ್ೆ ಕೀರಿ ನರತ್ತರೆ
SandalWoodNewsStories_287.mp3,55,ಲಿ ಯೋರ್ಗಿ ಯಾಪುಡು ಬ್ಯಪತ್ತೆಗೆದಿಂದ ನ್ನು ಶರಿಗಂದೆ ಅವರ ಒೊಂದು ಸಂಘಮಲ್ ಕುಂದ ಹಣನುಕರ್ನಾತೆ
SandalWoodNewsStories_287.mp3,56,ೋಸನ್ಯು ಅರುಗುಡುಕಿಸುನ ನಮ್ಮ ಸೊಂದರವರಿಯನ್ನ ಮಳಗತ್ತರ ಸರ್ಕಾರ್ಲಯವಲ್ಲೆಗೆ
SandalWoodNewsStories_287.mp3,57,ನಾವು ಪರಾವೆಟ್ ಮಾಲಗ ನಮ್ಮು ಪರುಂಶನ್ ಹು ಇನ್ನು ನಮು ಇನ್ನ ವಿನೈ ಮೂರೋಜಗಿಡ
SandalWoodNewsStories_287.mp3,58,ವಿನಾವಿನಾ ಹದು ಮೂರವರ್ ಸ್ಕಾಯದರ್ತು ಹದುಮೂ ರೋರಿಸದಾಗೂ ರಾೈುವೆರ್ಡ್ ಕ್ೊಟ್ಟಾ ರಾತವೊಂದು ಆಶಬಹುಂನಿದಿಂದು ಮುನ್ದುನಾ ಒಂದ ಇಪ್ಪರ್ಸೌಿರದರೇಟು ತೋವೋದವ ತೇಶಿಂಧ ನಾವ ಅನುಶ್ಯೂಕ್ಯ ನೊಂದೆ
SandalWoodNewsStories_287.mp3,59,ದ್ರೆ ಸ್ರಿಗಾಂದವಿಗಳ ಹಿನಾರವರ್ಷಿತಕ
SandalWoodNewsStories_287.mp3,60,ಹದಿನಾರ್ವಸ್ತಿಕಯ ಸಂಪಾನ್ಸ್ಬೂಕು
SandalWoodNewsStories_287.mp3,61,ಹದಿನಾರು ವರ್ಶ್ಷಕನ ಂಗಂ್ನು ಒಂದು ಗಟನ್ುವನಲ ಕ್ಷಪಯಷಗುವೂದಲ
SandalWoodNewsStories_287.mp3,62,ಒಂದುಲಕ್ಷಂತ ಅಲಿದೆ ಅರಾಂಶಕ್ಕಿ ಸಿಗುವು
SandalWoodNewsStories_287.mp3,63,ಮುಂದು ಅದ ಹದನಾರ್ನೆ ವರ್ಸು ಲುನದುನಿಗಾನು ಕಾಯಿತಿರಿದಯ
SandalWoodNewsStories_287.mp3,64,ಒಂದ ವರ್ಷಕ ಹತ್ಪರ್ಶಂಟ್ ಜಾಸ್ತೀಯಾಗುದ್ದು ದೆ
SandalWoodNewsStories_287.mp3,65,ನ್ಯಟ್ ವರ್ಷಜಯಾಯಕಾಯಿತಲ್ಲ ಇಪ್ಪತ್ತೋರ್ಷಕಾದರಿಂದ ಮೂ ಂದೈೋರು ಸೇಗನ ಮತ್ತುನ್ಲಸೂಪ ಜುನ್ಯುತೆಲ್ಲಿ ಹವಿನಯ ಹವ್ನಾರವರ್ಸಕ್ಲಾದ ಒಂನು ಲ ಕ್ಸ್ತೋಳದು ಮೂ ದೈದೋರ್ಷ್ಕಾದ ಮಾತ್ತೊನ್ ಲಕ್ಷವತೋಳಾತು ಶಕ್ತಿಯತೆಇದು ಸರಿಗೊಂಧ ನಾವು
SandalWoodNewsStories_287.mp3,66,ಪರಾಯಿಕೂಳದರಿಂ
SandalWoodNewsStories_287.mp3,67,ರಔಷಿಕತಿಯುತ್ತೂರು
SandalWoodNewsStories_287.mp3,68,ಪ್ರಟ್ುಮರಿತಿಶುಂಧ
SandalWoodNewsStories_287.mp3,69,ತೋಬಹುದು ತುಲ ಬ್ಯಾಡಪನಮ್ಮ ನಿಮಾಸ್ಒಬ್ಬ ವೇಡ್ ಬಲ್ಲ ತಂದ್ರ ಮತ್ತು ನೈದೋರ್ ಸ್ಕಾದ ಹಿಂಗ ಇನ್ನೂಲ ಸೂಪತೂಳಂತ
SandalWoodNewsStories_287.mp3,70,ಸುತ್ತೋಯಿದುವಸ್ರಿಗಂದ ಗಿಡಗಳಹಣ್ಣು ಬೆಳೆಯವಣೆಗೆ ಮಾಡುವ ಸಲವಾಗಿ ನೀವು ಯಾರ ಅನುಮತಿಯನ್ನು ತೆಗೆದುಕೊಂಡಿದ್ದರಿ
SandalWoodNewsStories_287.mp3,71,ಸುರಿಗೊಂದಗಡ ಬಳಗಕ್ಕ ತೊಂದುರ್ವೇ
SandalWoodNewsStories_287.mp3,72,ಈಗ ಅನುಮತಿ ಯಾರಧು ಬೇಕೆಗಿಲ್ಲ ಯಾಗ ಬೇಕೆಗೆಗೆಲ ಪಾ ತಂದ್ರ ನಾಮ್ಮ ರೈಿತ್ರಿಗೆ ನದರ ಬಗೆಯ ಪರಿದ್ಞೈನಲ್ಲ
SandalWoodNewsStories_287.mp3,73,ವ್ಯಾರು ಸಾೌಿರದ ಈದರಧನ
SandalWoodNewsStories_287.mp3,74,ಗೋರ್ಮೆಟ್ಟ ರೈತ್ರಿ ಬೆಳೆಲಾಕ ಅಲುಮೈತುಕೊಟ್ಟಿದ್ಸ ಯಾರಸವ ಇದ್ರ ಕೊಟ್ಟದೆ
SandalWoodNewsStories_287.mp3,75,ಆದರು ಇಲ್ಲಿತಕ್ಕನೂ ಇಲ್ಲಾಮಯ ನಮ ಅನುಂಬತ್ತನದೇಕ್ಕೂವ ನಬತ್ತನು ವ್ೇಕ್ಕತ್ತಹ್ಳುತ್ತರೇಿತ್ರು ಅದರ ಇದ್ರು ಮೈತಿ ಅರಿಯೇಲ್ಲ ಯಾರು ಸವು ರೈರೂಂದ ಇಲ್ಲಿತ ಕೇಟೋಶಾತ ನೂಡದೆ
SandalWoodNewsStories_287.mp3,76,ಅದರು ಇಂತಹ ನಾಮ್ಮ ರೈತ್ರ ಅದರ ಪರಿಜ್ಞ ನಿಲ್ಲ ಅದಕ್ಕ ನಿಮ್ಮ ಟಿ ಯೂಚನಾಅಲ್ಲಾೌರು
SandalWoodNewsStories_287.mp3,77,ಇದನ್ನು ಪ್ರಸಾರ ಮಾಡಿಕೆ ಸಿಯಂದ ಹೆಚ್ಚಿನು ವರ್ತ ಕಾಟಿಕೀಷದ ರೈಹಿದರ್ತಿಲ್ಲಾ ಕೂಡುವಕ ತೆಶುನ್ ನೊಂಬುಂನದು ನಿಮ್ಮಾಲ ಒತ್ತರಡ ಹಾಕ್ತೂನ ಯಾವರವರ ಹಿಂ್ ಗಾ್ಗತ್ತೊಂದೆ
SandalWoodNewsStories_287.mp3,78,ಯಾಲು ಸಾವರದು ಐದರ ಕೊಟ್ಟುದ್ದೂವು
SandalWoodNewsStories_287.mp3,79,ಯಾರಾಮು ತಿರಿುಗಳಕ್ಕಿದ್ದವರಿ ಯಾನ್ನು ಒಬ್ಬಿ ಬ್ರಚಾರನಲ್ವೆ ಅವರಿ ಒತ್ಪಂತ ಕುಂಟರೆಯು
SandalWoodNewsStories_287.mp3,80,ಇಲ್ಲಿಯ ನಂಪವು
SandalWoodNewsStories_287.mp3,81,ಹ ಚುತುವೂ ರಲ್ಧಕ
SandalWoodNewsStories_287.mp3,82,ಏಹಾಲವತ್ಮಗರೆ
SandalWoodNewsStories_287.mp3,83,ಹವೆ ಇದು ಮಡಗನ ಕಟ್ಮಾಟು
SandalWoodNewsStories_287.mp3,84,ನೇಳುರ್ಗಡ ಇಳ್ಕೂಟುಪೆ ಜಾಗನಾಗ
SandalWoodNewsStories_287.mp3,85,ಯೂ ಕ್ರಿಯಾದ್ರವ
SandalWoodNewsStories_287.mp3,86,ಹದಿನಾ ಕಾದರುನ್ಲ ಅಕ್ಕಿತ್ರೆ ಅದಾ ಯಾವಾಶ್ಯಮನು ಖಟ್ರ ಮಡಿಕ ಶುನ್ ವೀವರುಕೂಟ್ ಉಪಯತೋಂಟೋಹರು
SandalWoodNewsStories_287.mp3,87,ಅವರು ಪರಿಜ್ಞಾನಿದ್ದಾವರು ಮತ್ತವರಿಗೀ ಅದನು ಮಾಯತಿ ಕೊಟ್ಟಿಲ್ಲವರು
SandalWoodNewsStories_287.mp3,88,ಲೀಗ ನಾಮುಖ್ಯಾಂತ್ರಾಯಲ್ಲಿ ನಿಯಮ್ಮು ಖಂತ್ರೆಯಲ್ಲಿ ರೇತ್ರಿ ಮನವರಿಕೆ ಮಾಡುಕಿಸಿಂದ ಎದನು ಬೆಳೆಯಂತ ಪ್ರೋಸ್ತಾರಿನೂ
SandalWoodNewsStories_287.mp3,89,ಇವು ಸೊಂಚುತ್ ರೀತುಿಯಾರ ನೂ ಮಾರ್ತ್ಿರತಂಶನ್ ನಿಮ್ಮಲ್ಲಿನ ಮುಂದು ಅಶಭವಹನಾಯಿತೆ
SandalWoodNewsStories_287.mp3,90,ಅನ್ಯು ಸ್ರೇಗಾನ ಗೆಡಗಳಲ್ಲಿ ಮತ್ತೊನೆಯಾಟ್ಟಿಕ್ ಮಾಡಿಲೆಂಟ್ರ್ ಅಂತರ್ಪಿಕ್ ಮನ್ ಯುದರಾಗು ನೋಡದೆ
SandalWoodNewsStories_287.mp3,91,ಇದುವ ಸ್ರಿಗಂದ ಸಾವು ಲಂಬಿ
SandalWoodNewsStories_287.mp3,92,ಗಿಡಾಲೃದು ಮಇದು ಪರವಲೊಂದು ಗಿಡ
SandalWoodNewsStories_287.mp3,93,ಇವಿನೇವ ಇಲ್ಲೋ ಲಕ್ಗ ದಿರಿಗ ಇಲ್ಲಿ ಹಿಂಲಯಿದ್ದು ಅದು ಚೋಗು ಜೀತ್ರೆ ಹಾ ಜೋಗ ಜೀದ್ರ ನೀಿ ತೆಗೆಳಬಳಿ ವಎಲ್ಲಿದ್ದಕರಿ ಐದವರಸ್ತ
